Experience,Qualifications,Work Type,Company Size,Preference,Job Title,Role,skills,Salary_INR
8,M.Tech,Full-Time,154621,Female,Frontend Developer,Frontend Developer,"HTML, CSS, React, TypeScript",3163285
3,BCA,Contract,33039,Both,Mobile App Developer,Mobile App Developer,"Android, Dart, Firebase, Flutter",1880985
5,M.Tech,Remote,28508,Both,UI/UX Designer,UI/UX Designer,"Wireframing, Figma, Prototyping, Adobe XD",2331786
9,MCA,Intern,87631,Female,DevOps Engineer,DevOps Engineer,"AWS, Linux, Docker, CI/CD",3239761
11,PhD,Full-Time,89487,Both,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Python, AWS, Docker",4522838
1,MCA,Contract,68932,Male,Data Scientist,Data Scientist,"Statistics, Machine Learning, Python, Pandas",2408510
7,B.Tech,Full-Time,110431,Female,UI/UX Designer,UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframing",2402359
1,M.Tech,Full-Time,149240,Male,Data Scientist,Data Scientist,"SQL, Machine Learning, Pandas, Python",2872268
6,PhD,Remote,137735,Both,Frontend Developer,Frontend Developer,"CSS, HTML, JavaScript, TypeScript",2785717
14,PhD,Intern,116404,Male,Frontend Developer,Frontend Developer,"CSS, HTML, JavaScript, TypeScript",3580263
4,PhD,Remote,187540,Female,Mobile App Developer,Mobile App Developer,"Flutter, Android, Firebase, Dart",2824552
14,M.Tech,Contract,116448,Female,Data Scientist,Data Scientist,"SQL, Python, Pandas, Machine Learning",4143083
2,M.Tech,Full-Time,132029,Female,Software Tester,Software Tester,"Manual Testing, JIRA, Selenium, Automation",1780689
14,M.Tech,Contract,196296,Female,Frontend Developer,Frontend Developer,"JavaScript, HTML, React, CSS",3439669
5,MCA,Remote,94048,Male,DevOps Engineer,DevOps Engineer,"AWS, Linux, Docker, CI/CD",3139060
5,MCA,Remote,139424,Both,Software Tester,Software Tester,"Automation, JIRA, Manual Testing, Selenium",2380567
0,B.Tech,Contract,171446,Male,Data Scientist,Data Scientist,"Statistics, SQL, Machine Learning, Python",2114774
5,MCA,Full-Time,167436,Both,Cloud Engineer,Cloud Engineer,"Docker, AWS, Kubernetes, Linux",3434674
3,PhD,Contract,146156,Female,Data Scientist,Data Scientist,"SQL, Statistics, Pandas, Machine Learning",3165265
0,MCA,Intern,182025,Both,Mobile App Developer,Mobile App Developer,"Dart, Firebase, Android, Flutter",2015470
8,MBA,Intern,116741,Female,Frontend Developer,Frontend Developer,"JavaScript, CSS, React, TypeScript",2686601
4,PhD,Intern,183495,Both,Data Scientist,Data Scientist,"SQL, Machine Learning, Statistics, Pandas",3062071
10,M.Tech,Full-Time,131382,Female,Data Scientist,Data Scientist,"Python, Pandas, SQL, Statistics",3794834
7,MBA,Full-Time,163620,Female,Data Scientist,Data Scientist,"SQL, Statistics, Python, Machine Learning",3190354
3,BCA,Intern,127630,Both,Machine Learning Engineer,Machine Learning Engineer,"Docker, Python, TensorFlow, PyTorch",2839747
15,BCA,Remote,75162,Female,UI/UX Designer,UI/UX Designer,"Figma, Wireframing, Prototyping, Adobe XD",3676575
11,PhD,Full-Time,81259,Female,UI/UX Designer,UI/UX Designer,"Prototyping, Wireframing, Adobe XD, Figma",3294115
14,MCA,Remote,153599,Both,Frontend Developer,Frontend Developer,"TypeScript, CSS, JavaScript, React",3960441
9,M.Tech,Remote,98890,Male,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, AWS, PyTorch, Python",4158827
3,PhD,Remote,140476,Male,Backend Developer,Backend Developer,"Spring Boot, MySQL, REST API, Docker",2664467
8,B.Tech,Remote,173799,Male,Mobile App Developer,Mobile App Developer,"Flutter, Firebase, Dart, Android",2969425
14,PhD,Full-Time,167280,Female,DevOps Engineer,DevOps Engineer,"CI/CD, Kubernetes, Docker, Linux",4793909
0,MCA,Contract,187983,Both,Mobile App Developer,Mobile App Developer,"Android, Firebase, Flutter, Dart",1705788
5,M.Tech,Contract,105015,Both,Backend Developer,Backend Developer,"MySQL, Docker, REST API, Spring Boot",2623580
7,BCA,Full-Time,155674,Both,Machine Learning Engineer,Machine Learning Engineer,"Python, AWS, PyTorch, TensorFlow",2995877
8,MCA,Full-Time,181859,Female,Data Scientist,Data Scientist,"Pandas, Statistics, Python, Machine Learning",3356681
10,B.Tech,Intern,82078,Female,Mobile App Developer,Mobile App Developer,"Dart, Flutter, Firebase, Android",3078387
6,BCA,Contract,60232,Male,Cloud Engineer,Cloud Engineer,"Azure, Docker, Linux, AWS",2918545
14,MCA,Contract,10841,Female,Frontend Developer,Frontend Developer,"CSS, JavaScript, TypeScript, HTML",3059578
15,MBA,Remote,126153,Both,Machine Learning Engineer,Machine Learning Engineer,"Docker, AWS, PyTorch, Python",4309202
0,PhD,Intern,83242,Female,DevOps Engineer,DevOps Engineer,"Docker, CI/CD, AWS, Kubernetes",2999311
7,MCA,Full-Time,173230,Female,Mobile App Developer,Mobile App Developer,"Dart, Flutter, Firebase, Android",2418833
0,MBA,Intern,69177,Female,Backend Developer,Backend Developer,"Java, MySQL, Spring Boot, REST API",2181213
2,BCA,Remote,109258,Female,Data Scientist,Data Scientist,"Machine Learning, Statistics, Pandas, SQL",2448978
8,B.Tech,Remote,151239,Male,Data Scientist,Data Scientist,"Machine Learning, Python, Statistics, SQL",2934840
0,PhD,Intern,21256,Male,Mobile App Developer,Mobile App Developer,"Android, Firebase, Flutter, Dart",2070755
9,MCA,Contract,179870,Female,Software Tester,Software Tester,"Automation, Selenium, JIRA, Manual Testing",2790188
9,PhD,Full-Time,79042,Female,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, Docker, Python, TensorFlow",3861795
9,BCA,Remote,120756,Female,Machine Learning Engineer,Machine Learning Engineer,"TensorFlow, Python, AWS, Docker",3163646
2,MBA,Remote,139195,Both,UI/UX Designer,UI/UX Designer,"Wireframing, Figma, Prototyping, Adobe XD",2083402
1,MBA,Remote,142645,Both,Data Scientist,Data Scientist,"SQL, Machine Learning, Statistics, Pandas",2621806
15,PhD,Intern,32403,Female,Data Scientist,Data Scientist,"Machine Learning, Pandas, SQL, Python",3984479
2,M.Tech,Contract,140314,Female,Data Scientist,Data Scientist,"Python, Statistics, SQL, Machine Learning",2709059
10,M.Tech,Contract,73821,Male,Data Scientist,Data Scientist,"SQL, Machine Learning, Pandas, Statistics",3523336
8,PhD,Full-Time,64281,Female,DevOps Engineer,DevOps Engineer,"Linux, Kubernetes, AWS, Docker",4106671
15,M.Tech,Contract,95724,Both,Frontend Developer,Frontend Developer,"React, TypeScript, CSS, HTML",3762780
12,PhD,Contract,17661,Both,Machine Learning Engineer,Machine Learning Engineer,"Docker, AWS, Python, TensorFlow",3909550
0,MBA,Remote,128719,Both,Cloud Engineer,Cloud Engineer,"Docker, AWS, Linux, Azure",2822100
2,B.Tech,Remote,60082,Female,Data Scientist,Data Scientist,"SQL, Python, Pandas, Statistics",2511882
7,M.Tech,Remote,196046,Both,Frontend Developer,Frontend Developer,"React, JavaScript, CSS, TypeScript",2836973
1,M.Tech,Remote,98727,Male,Cyber Security Analyst,Cyber Security Analyst,"Network Security, Python, Penetration Testing, SIEM",2585533
8,B.Tech,Full-Time,128511,Both,Cloud Engineer,Cloud Engineer,"Linux, Azure, Docker, AWS",3581030
12,MBA,Contract,62678,Both,Data Scientist,Data Scientist,"Python, Pandas, Machine Learning, Statistics",3664976
13,M.Tech,Intern,91554,Male,Cloud Engineer,Cloud Engineer,"AWS, Kubernetes, Azure, Docker",4822715
11,M.Tech,Contract,71990,Female,Cloud Engineer,Cloud Engineer,"Kubernetes, Docker, Linux, Azure",4697249
2,B.Tech,Intern,141599,Female,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, AWS, Docker, TensorFlow",2732487
0,MBA,Contract,155352,Male,Mobile App Developer,Mobile App Developer,"Firebase, Android, Dart, Flutter",1995380
9,B.Tech,Contract,2639,Both,Backend Developer,Backend Developer,"Java, Docker, Spring Boot, MySQL",3188845
11,PhD,Remote,86994,Both,Backend Developer,Backend Developer,"MySQL, REST API, Docker, Spring Boot",3585815
12,PhD,Intern,146827,Male,Frontend Developer,Frontend Developer,"HTML, TypeScript, React, CSS",3936769
8,MCA,Contract,146313,Male,Machine Learning Engineer,Machine Learning Engineer,"PyTorch, TensorFlow, AWS, Python",3269152
